Time(s),Source cell ID,Destination cell ID
589.6,2,6
590.1,6,3
590.2,6,3
590.8,17,14
591.1,4,5
591.1,10,15
591.3,17,12
591.5,14,13
592.0,17,12
592.3,17,12
592.5,14,10
592.6,12,1
592.6,17,12
592.8,17,12
593.2,5,6
594.2,16,12
595.2,16,12
595.2,16,12
595.6,12,13
596.0,15,10
596.4,7,12
596.4,15,11
597.9,6,5
598.7,10,9
599.1,10,9
599.8,12,7
600.0,4,9
600.3,6,2
600.4,2,18
601.0,5,9
602.3,13,14
603.0,6,3
603.3,17,18
603.5,10,15
606.6,9,4
607.0,11,16
607.9,12,1
608.4,11,15
608.4,15,19
609.1,3,18
609.5,3,18
609.5,4,9
610.6,9,14
610.6,11,15
610.7,9,14
610.8,9,5
610.8,10,15
610.9,5,6
611.3,2,18
611.3,9,5
611.8,8,19
611.9,9,10
612.2,4,5
612.4,4,19
612.9,15,16
613.1,18,3
613.2,15,14
613.4,10,9
614.6,12,13
615.0,12,17
615.2,5,1
615.5,5,9
615.8,4,8
615.8,18,3
616.2,12,13
616.2,13,14
616.3,12,17
616.3,12,16
616.3,17,18
616.9,5,9
617.0,2,6
617.2,16,19
617.8,2,18
618.2,8,4
618.7,10,15
619.0,12,17
619.8,18,15
620.0,5,6
620.1,10,14
620.1,12,17
620.1,14,9
620.3,10,14
620.5,16,11
620.9,5,4
621.5,1,2
621.6,7,12
621.7,5,2
622.3,19,15
623.4,19,16
624.4,19,4
624.6,18,2
625.0,19,18
625.2,12,7
625.4,14,10
626.3,8,13
626.4,12,7
627.2,16,12
627.5,16,12
628.3,9,4
628.7,6,10
628.7,16,11
629.1,13,8
630.2,9,13
631.3,6,7
633.5,3,2
633.8,18,14
633.9,3,18
634.5,6,5
634.8,5,1
635.1,19,8
636.2,3,18
636.5,10,14
637.3,17,12
638.0,3,18
638.1,5,6
638.9,10,15
639.0,2,6
640.2,9,14
640.3,18,3
640.6,11,16
641.1,4,8
641.2,2,6
641.2,12,16
641.2,18,3
641.4,12,16
642.0,18,2
642.9,2,1
644.0,15,10
645.0,8,19
646.0,14,18
646.5,2,1
646.7,13,12
647.1,17,12
647.4,10,6
647.4,14,10
647.4,15,10
647.9,6,3
650.3,18,15
650.6,18,19
651.6,17,12
651.7,18,2
651.8,18,14
652.1,18,19
652.2,10,14
652.4,10,15
652.5,1,2
652.7,11,15
652.8,18,19
652.9,18,15
653.5,18,14
655.9,13,9
656.0,12,17
657.7,2,1
660.0,13,12
660.2,2,18
660.3,7,12
660.4,10,15
660.6,13,9
661.2,14,18
661.5,13,9
661.7,7,12
663.6,2,1
664.2,14,15
664.6,15,19
665.2,2,6
666.1,2,17
666.1,12,17
666.1,12,13
667.3,17,18
668.0,14,15
668.6,14,13
668.8,2,18
668.8,14,9
669.2,12,13
669.3,14,15
669.8,14,18
670.4,19,18
670.8,3,18
671.3,9,13
672.0,3,18
673.4,18,3
673.7,6,2
673.7,19,18
673.7,19,15
676.0,6,5
676.3,18,2
676.4,15,10
676.5,18,3
677.1,14,13
677.2,15,10
677.3,13,12
677.5,17,12
677.6,6,10
677.8,14,13
678.0,14,10
678.2,15,10
678.2,16,4
678.4,1,2
678.4,17,12
678.6,14,10
679.3,19,4
680.7,16,15
681.1,1,12
681.3,19,8
681.7,8,9
682.8,7,6
683.9,2,1
684.2,12,17
684.7,16,12
685.7,9,10
685.9,7,12
685.9,9,8
686.0,1,4
686.2,12,16
688.3,8,19
688.8,12,1
689.4,12,1
689.4,12,7
689.7,12,1
689.8,10,14
689.9,4,1
691.6,13,14
691.8,8,4
692.1,13,14
692.2,10,14
692.2,12,13
692.5,12,1
693.0,13,14
693.1,10,15
693.5,18,14
693.6,13,9
693.7,9,14
693.9,12,1
695.1,15,16
695.8,13,7
696.0,1,2
696.2,9,14
697.4,1,4
698.0,1,17
698.9,9,10
699.6,18,19
